job_id,title,company,location,job_type,domain,description,responsibilities,required_skills,preferred_skills,qualifications,experience_required,education_required,stipend_or_salary,apply_link
98,Content Marketing Intern,Skyline Tech Ventures,Pune,Internship,Digital Marketing,Help grow our brand presence and drive engagement for a new product launch.,Plan and execute campaigns for a new product launch | Analyze campaign performance metrics | Optimize website content for search engines,"Social Media Marketing, Google Analytics, SEO","HubSpot, Email Marketing, Canva",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹10,000/month",https://careers.example.com/jobs/98
178,Software Testing Intern,Emberstone Software,Delhi NCR,Full-time,Quality Assurance,Help ensure the quality and reliability of a mobile banking app before release.,Automate repetitive test scenarios | Perform regression testing | Log and track defects,"Test Case Design, SQL, Bug Tracking","Postman, JMeter, Selenium",B.Tech/B.E. (Computer Science or related),0-1 years,B.Tech/B.E. (Computer Science or related),₹3 LPA,https://careers.example.com/jobs/178
87,Content Writing Intern,CloudNine Systems,Jaipur,Internship,Content Writing,"Help us create engaging, high-quality content for our developer blog.",Optimize content for SEO | Proofread and edit team submissions | Research industry topics for blog posts,"SEO Writing, Editing, Content Writing","Content Strategy, WordPress",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹10,000/month",https://careers.example.com/jobs/87
10,Finance Intern,ByteBridge Solutions,Chandigarh,Internship,Finance & Accounting,Support our finance team with reporting and analysis for annual budgeting.,Reconcile accounts and transactions | Support budgeting and forecasting activities | Assist in preparing financial reports for annual budgeting,"Financial Modeling, Accounting Principles, Tally","SAP, Forecasting, Budgeting",BCA / B.Sc IT,0 years (Fresher/Student),BCA / B.Sc IT,"₹15,000/month",https://careers.example.com/jobs/10
73,Software Testing Intern,Bluepine Software,Bangalore,Internship,Quality Assurance,Help ensure the quality and reliability of an e-commerce checkout flow before release.,Perform regression testing | Automate repetitive test scenarios | Write and execute test cases for an e-commerce checkout flow,"SQL, Bug Tracking, Manual Testing, Test Case Design","API Testing, Selenium, JMeter",B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹10,000/month",https://careers.example.com/jobs/73
66,DevOps Intern,TerraByte Networks,Bangalore,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for CI/CD pipelines.",Manage container orchestration | Automate deployment pipelines for CI/CD pipelines | Assist in cloud cost optimization,"Shell Scripting, Docker, Git","Jenkins, Azure, GCP",MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹8,000/month",https://careers.example.com/jobs/66
157,UI/UX Design Intern,TerraByte Networks,Noida,Internship,UI/UX Design,Join our design team to craft intuitive user experiences for a consumer marketplace app.,Conduct user research and usability tests | Collaborate with developers to implement designs | Design wireframes and mockups for a consumer marketplace app,"User Research, Adobe XD, Prototyping, Wireframing, Figma","Design Systems, Adobe Illustrator",Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹25,000/month",https://careers.example.com/jobs/157
59,Firmware Intern,Lighthouse Data Co,Chandigarh,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for a wearable device.,Document hardware interfaces | Develop firmware for a wearable device | Debug embedded systems issues,"C++, Microcontrollers, Embedded C",RTOS,MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹10,000/month",https://careers.example.com/jobs/59
89,IoT Developer Intern,Marble Arch Analytics,Hyderabad,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for a smart home device.,Develop firmware for a smart home device | Debug embedded systems issues | Document hardware interfaces,"C, Microcontrollers, C++, Embedded C","Arduino, PCB Design",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹12,000/month",https://careers.example.com/jobs/89
29,Firmware Intern,Meridian Data Co,Pune,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for a wearable device.,Develop firmware for a wearable device | Document hardware interfaces | Debug embedded systems issues,"C, Embedded C, C++, Microcontrollers",Arduino,MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹18,000/month",https://careers.example.com/jobs/29
142,UI/UX Design Intern,Anchor Point Systems,Chandigarh,Full-time,UI/UX Design,Join our design team to craft intuitive user experiences for a consumer marketplace app.,Collaborate with developers to implement designs | Conduct user research and usability tests | Maintain design system consistency,"Adobe XD, User Research, Figma, Prototyping, Wireframing","Design Systems, Usability Testing",MBA (any specialization),0-2 years,MBA (any specialization),₹6 LPA,https://careers.example.com/jobs/142
1,Software Engineer Intern,Vertex Digital Labs,Bangalore,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build an internal tools platform.,"Collaborate with cross-functional teams on an internal tools platform | Write clean, maintainable code for an internal tools platform | Write unit tests for new features","Java, Data Structures, Python","Kubernetes, Docker, Microservices",B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹10,000/month",https://careers.example.com/jobs/1
108,React Developer Intern,Lumen Software Labs,Chandigarh,Internship,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Integrate REST APIs into the frontend | Fix cross-browser compatibility issues | Optimize page load performance,"Responsive Design, JavaScript, CSS, HTML, React",Tailwind CSS,Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹15,000/month",https://careers.example.com/jobs/108
33,Web Developer Intern,Orbit Innovations,Delhi NCR,Full-time,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Build responsive UI components for a company dashboard | Integrate REST APIs into the frontend | Optimize page load performance,"CSS, Responsive Design, HTML, React, JavaScript","Node.js, TypeScript",B.Com / M.Com,1-2 years,B.Com / M.Com,₹3 LPA,https://careers.example.com/jobs/33
183,Web Developer Intern,Coral Bay Systems,Indore,Full-time,Web Development,"Help us build and maintain fast, modern web experiences for a marketing website.",Build responsive UI components for a marketing website | Optimize page load performance | Integrate REST APIs into the frontend,"React, HTML, CSS, JavaScript","TypeScript, Next.js, Tailwind CSS",B.Com / M.Com,1-2 years,B.Com / M.Com,₹8 LPA,https://careers.example.com/jobs/183
97,Product Designer Intern,Falcon Edge Systems,Remote,Internship,UI/UX Design,Join our design team to craft intuitive user experiences for a mobile banking app.,Design wireframes and mockups for a mobile banking app | Collaborate with developers to implement designs | Conduct user research and usability tests,"Prototyping, Figma, Wireframing, User Research","Adobe Illustrator, Design Systems, Usability Testing",MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹18,000/month",https://careers.example.com/jobs/97
75,Associate Product Manager Intern,TerraByte Networks,Coimbatore,Internship,Product Management,Support our product team in shaping the roadmap for a consumer mobile app.,Assist in defining product requirements for a consumer mobile app | Support sprint planning | Analyze user feedback and metrics,"Agile, Communication Skills, User Research, Product Roadmapping",Figma,B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹15,000/month",https://careers.example.com/jobs/75
69,Junior Business Analyst,Lumen Software Labs,Jaipur,Internship,Business Analysis,Support our product and strategy teams by analyzing data related to a logistics platform.,Support product roadmap planning | Gather and document business requirements for a logistics platform | Prepare reports and dashboards,"Data Analysis, Excel, SQL, Requirement Gathering",Power BI,Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹20,000/month",https://careers.example.com/jobs/69
19,Mobile App Development Intern,Amberwood Consulting,Mumbai,Internship,Mobile App Development,Work on our mobile app used by thousands of users to build a banking app.,Optimize app performance and battery usage | Fix bugs reported by QA | Develop and test mobile features for a banking app,"Dart, Android SDK, Kotlin","Firebase, Swift",MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹25,000/month",https://careers.example.com/jobs/19
85,Finance Intern,Lumen Software Labs,Mumbai,Full-time,Finance & Accounting,Support our finance team with reporting and analysis for vendor payments.,Assist with audit documentation | Support budgeting and forecasting activities | Reconcile accounts and transactions,"Financial Modeling, Accounting Principles, Excel","Power BI, Forecasting, SAP",B.Com / M.Com,0-2 years,B.Com / M.Com,₹8 LPA,https://careers.example.com/jobs/85
76,Software Development Intern,Anchor Point Systems,Jaipur,Full-time,Software Development,We are looking for a motivated individual to join our engineering team and help build a payments backend.,Participate in code reviews | Collaborate with cross-functional teams on a payments backend | Write unit tests for new features,"SQL, OOP, Data Structures","Docker, CI/CD",BCA / B.Sc IT,0-1 years,BCA / B.Sc IT,₹8 LPA,https://careers.example.com/jobs/76
61,Full Stack Developer,Amberwood Consulting,Ahmedabad,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build a payments backend.,Collaborate with cross-functional teams on a payments backend | Participate in code reviews | Write unit tests for new features,"Java, REST APIs, Git","Microservices, Docker",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹10,000/month",https://careers.example.com/jobs/61
72,Copywriting Intern,Clarity Insights Inc,Nagpur,Internship,Content Writing,"Help us create engaging, high-quality content for marketing campaigns.",Research industry topics for blog posts | Optimize content for SEO | Write and edit content for marketing campaigns,"SEO Writing, Editing, Research Skills","Content Strategy, WordPress, Grammarly",Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹18,000/month",https://careers.example.com/jobs/72
131,Talent Acquisition Intern,Driftwood Digital,Bhopal,Internship,Human Resources,Join our HR team to support hiring and employee experience for employee engagement programs.,Source and screen candidates for employee engagement programs | Maintain HR records and databases | Support onboarding of new hires,"MS Office, Recruitment, Communication Skills","Onboarding Programs, HR Analytics, Employer Branding",B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹18,000/month",https://careers.example.com/jobs/131
37,Graphic Design Intern,Quantify Analytics,Hyderabad,Internship,UI/UX Design,Join our design team to craft intuitive user experiences for a mobile banking app.,Design wireframes and mockups for a mobile banking app | Collaborate with developers to implement designs | Maintain design system consistency,"Figma, Adobe XD, Prototyping",Design Systems,MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹20,000/month",https://careers.example.com/jobs/37
47,AI Research Intern,Lighthouse Data Co,Coimbatore,Full-time,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Deploy models into production pipelines | Clean and preprocess datasets for a fraud detection system | Present findings to stakeholders,"Scikit-learn, Statistics, NumPy, SQL","NLP, TensorFlow",MCA / M.Sc Computer Science,0-2 years,MCA / M.Sc Computer Science,₹5 LPA,https://careers.example.com/jobs/47
186,Security Research Intern,Lumen Software Labs,Kochi,Internship,Cybersecurity,Support our security team in protecting systems and data related to internal networks.,Monitor systems for security incidents related to internal networks | Assist in vulnerability assessments | Document security findings and remediation steps,"Networking Fundamentals, Linux, Wireshark","SIEM Tools, Python Scripting, Cloud Security",Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹25,000/month",https://careers.example.com/jobs/95
161,HR Operations Intern,Wavelength Media Labs,Nagpur,Full-time,Human Resources,Join our HR team to support hiring and employee experience for lateral hiring.,Coordinate interview scheduling | Maintain HR records and databases | Support onboarding of new hires,"HRIS, Communication Skills, MS Office","Employer Branding, HR Analytics",MBA (any specialization),1-2 years,MBA (any specialization),₹4 LPA,https://careers.example.com/jobs/161
44,Embedded Systems Intern,Anchor Point Systems,Bhopal,Full-time,Embedded Systems & IoT,Work on embedded hardware and firmware for a smart home device.,Debug embedded systems issues | Develop firmware for a smart home device | Test hardware-software integration,"Embedded C, C++, Microcontrollers",Arduino,BCA / B.Sc IT,0-1 years,BCA / B.Sc IT,₹3 LPA,https://careers.example.com/jobs/44
179,Embedded Systems Intern,Lighthouse Data Co,Mumbai,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for an industrial IoT sensor.,Develop firmware for an industrial IoT sensor | Debug embedded systems issues | Test hardware-software integration,"Microcontrollers, C, Embedded C, C++","RTOS, PCB Design, Arduino",MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹18,000/month",https://careers.example.com/jobs/179
115,Accounting Intern,Brightwave Technologies,Pune,Internship,Finance & Accounting,Support our finance team with reporting and analysis for annual budgeting.,Assist with audit documentation | Support budgeting and forecasting activities | Reconcile accounts and transactions,"Financial Modeling, Excel, Tally, Accounting Principles",Budgeting,BCA / B.Sc IT,0 years (Fresher/Student),BCA / B.Sc IT,"₹18,000/month",https://careers.example.com/jobs/115
112,Graphic Design Intern,Pinnacle Web Works,Gurgaon,Internship,UI/UX Design,Join our design team to craft intuitive user experiences for a mobile banking app.,Maintain design system consistency | Conduct user research and usability tests | Collaborate with developers to implement designs,"User Research, Wireframing, Adobe XD, Figma, Prototyping",Design Systems,MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹12,000/month",https://careers.example.com/jobs/112
163,Automation Testing Intern,Meridian Data Co,Ahmedabad,Full-time,Quality Assurance,Help ensure the quality and reliability of an internal API before release.,Log and track defects | Write and execute test cases for an internal API | Automate repetitive test scenarios,"Bug Tracking, SQL, Test Case Design","Postman, API Testing",Pursuing B.Tech/B.E.,1-2 years,Pursuing B.Tech/B.E.,₹8 LPA,https://careers.example.com/jobs/163
124,Flutter Developer,Anchor Point Systems,Chandigarh,Full-time,Mobile App Development,Work on our mobile app used by thousands of users to build a fitness tracking app.,Fix bugs reported by QA | Optimize app performance and battery usage | Develop and test mobile features for a fitness tracking app,"Android SDK, Dart, Kotlin, Flutter, Java",Firebase,B.Tech/B.E. (Computer Science or related),0-1 years,B.Tech/B.E. (Computer Science or related),₹6 LPA,https://careers.example.com/jobs/124
86,Talent Acquisition Intern,Falcon Edge Systems,Noida,Full-time,Human Resources,Join our HR team to support hiring and employee experience for lateral hiring.,Support onboarding of new hires | Maintain HR records and databases | Source and screen candidates for lateral hiring,"HRIS, MS Office, Recruitment","HR Analytics, Employer Branding",MBA (any specialization),1-2 years,MBA (any specialization),₹6 LPA,https://careers.example.com/jobs/86
100,Financial Analyst Intern,Emberstone Software,Remote,Internship,Finance & Accounting,Support our finance team with reporting and analysis for vendor payments.,Assist with audit documentation | Support budgeting and forecasting activities | Reconcile accounts and transactions,"Excel, Tally, Accounting Principles","Budgeting, Forecasting",BCA / B.Sc IT,0 years (Fresher/Student),BCA / B.Sc IT,"₹8,000/month",https://careers.example.com/jobs/100
136,Full Stack Developer,Momentum Fintech,Delhi NCR,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build an internal tools platform.,"Debug and fix issues in existing modules | Write clean, maintainable code for an internal tools platform | Collaborate with cross-functional teams on an internal tools platform","OOP, Python, Data Structures, REST APIs, Git",AWS,B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹8,000/month",https://careers.example.com/jobs/136
168,React Developer Intern,Evergreen IT Solutions,Bhopal,Internship,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Build responsive UI components for a company dashboard | Integrate REST APIs into the frontend | Optimize page load performance,"React, Responsive Design, JavaScript, CSS, HTML",Next.js,Pursuing B.Tech/B.E.,0 years (Fresher/Student),Pursuing B.Tech/B.E.,"₹12,000/month",https://careers.example.com/jobs/168
117,Technical Writer Intern,Lighthouse Data Co,Bhopal,Internship,Content Writing,"Help us create engaging, high-quality content for marketing campaigns.",Research industry topics for blog posts | Write and edit content for marketing campaigns | Proofread and edit team submissions,"Editing, Content Writing, SEO Writing","Grammarly, Content Strategy",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹8,000/month",https://careers.example.com/jobs/117
110,Security Research Intern,Palm Grove Technologies,Ahmedabad,Internship,Cybersecurity,Support our security team in protecting systems and data related to customer data systems.,Monitor systems for security incidents related to customer data systems | Document security findings and remediation steps | Support incident response drills,"Networking Fundamentals, Linux, Wireshark, OWASP Top 10",SIEM Tools,B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹18,000/month",https://careers.example.com/jobs/110
165,Associate Product Manager Intern,Cobalt Cloud Works,Chandigarh,Internship,Product Management,Support our product team in shaping the roadmap for an internal tools suite.,Coordinate with engineering and design | Analyze user feedback and metrics | Support sprint planning,"Communication Skills, Agile, Product Roadmapping, User Research","Figma, A/B Testing",B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹18,000/month",https://careers.example.com/jobs/165
187,HR Intern,Lighthouse Data Co,Remote,Internship,Human Resources,Join our HR team to support hiring and employee experience for lateral hiring.,Support onboarding of new hires | Coordinate interview scheduling | Maintain HR records and databases,"HRIS, MS Office, Communication Skills","Employer Branding, Onboarding Programs",B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹20,000/month",https://careers.example.com/jobs/41
113,SEO Intern,Everest Cloud Services,Noida,Internship,Digital Marketing,Help grow our brand presence and drive engagement for a B2B SaaS brand.,Plan and execute campaigns for a B2B SaaS brand | Analyze campaign performance metrics | Create content calendars,"Content Writing, Social Media Marketing, SEO","Email Marketing, HubSpot",MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹10,000/month",https://careers.example.com/jobs/113
15,Product Management Intern,Meridian Data Co,Coimbatore,Internship,Product Management,Support our product team in shaping the roadmap for a consumer mobile app.,Analyze user feedback and metrics | Coordinate with engineering and design | Support sprint planning,"Communication Skills, Product Roadmapping, Agile","JIRA, SQL",Any graduate (technical background preferred),0 years (Fresher/Student),Any graduate (technical background preferred),"₹20,000/month",https://careers.example.com/jobs/15
39,Business Analyst Intern,Driftwood Digital,Gurgaon,Internship,Business Analysis,Support our product and strategy teams by analyzing data related to a logistics platform.,Gather and document business requirements for a logistics platform | Analyze data to identify trends | Prepare reports and dashboards,"Data Analysis, Requirement Gathering, SQL","Agile, Power BI, Tableau",B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹15,000/month",https://careers.example.com/jobs/39
21,Site Reliability Intern,Coral Bay Systems,Chandigarh,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for a multi-region deployment.",Monitor infrastructure uptime | Manage container orchestration | Assist in cloud cost optimization,"Shell Scripting, Docker, Linux",Jenkins,Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹20,000/month",https://careers.example.com/jobs/21
2,Machine Learning Intern,Coral Bay Systems,Bangalore,Full-time,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Present findings to stakeholders | Perform exploratory data analysis on a fraud detection system | Build and evaluate ML models,"Statistics, SQL, Scikit-learn, Python, Pandas","NLP, TensorFlow, Deep Learning",MCA / M.Sc Computer Science,0-1 years,MCA / M.Sc Computer Science,₹5 LPA,https://careers.example.com/jobs/2
90,Associate Product Manager Intern,Orbit Innovations,Pune,Internship,Product Management,Support our product team in shaping the roadmap for an internal tools suite.,Analyze user feedback and metrics | Assist in defining product requirements for an internal tools suite | Support sprint planning,"Agile, Product Roadmapping, Communication Skills, User Research","A/B Testing, JIRA, SQL",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹25,000/month",https://careers.example.com/jobs/90
153,Web Developer Intern,Nexalytics Technologies,Gurgaon,Internship,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Integrate REST APIs into the frontend | Build responsive UI components for a company dashboard | Fix cross-browser compatibility issues,"HTML, CSS, Responsive Design, JavaScript","Node.js, Tailwind CSS",B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹12,000/month",https://careers.example.com/jobs/153
144,Business Analyst Intern,Evergreen IT Solutions,Ahmedabad,Internship,Business Analysis,Support our product and strategy teams by analyzing data related to a logistics platform.,Analyze data to identify trends | Gather and document business requirements for a logistics platform | Support product roadmap planning,"Data Analysis, SQL, Requirement Gathering, Excel",Agile,Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹18,000/month",https://careers.example.com/jobs/144
42,Technical Writer Intern,Ridgeline Tech,Bangalore,Full-time,Content Writing,"Help us create engaging, high-quality content for our developer blog.",Write and edit content for our developer blog | Proofread and edit team submissions | Research industry topics for blog posts,"SEO Writing, Editing, Content Writing","Grammarly, Content Strategy, WordPress",Any graduate (technical background preferred),0-1 years,Any graduate (technical background preferred),₹4 LPA,https://careers.example.com/jobs/42
65,SOC Analyst Intern,Starlight Design Studio,Jaipur,Internship,Cybersecurity,Support our security team in protecting systems and data related to cloud infrastructure.,Assist in vulnerability assessments | Document security findings and remediation steps | Support incident response drills,"Wireshark, Linux, OWASP Top 10, Networking Fundamentals","Python Scripting, Cloud Security",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹12,000/month",https://careers.example.com/jobs/65
151,Full Stack Developer,Ironclad Cyber Solutions,Pune,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build a payments backend.,Debug and fix issues in existing modules | Participate in code reviews | Collaborate with cross-functional teams on a payments backend,"SQL, REST APIs, Git, Python, OOP","CI/CD, Kubernetes",Any graduate (technical background preferred),0 years (Fresher/Student),Any graduate (technical background preferred),"₹15,000/month",https://careers.example.com/jobs/151
63,UI Developer,Vantage Point Analytics,Gurgaon,Internship,Web Development,"Help us build and maintain fast, modern web experiences for an e-commerce storefront.",Fix cross-browser compatibility issues | Build responsive UI components for an e-commerce storefront | Integrate REST APIs into the frontend,"React, JavaScript, HTML, Responsive Design, CSS","TypeScript, Tailwind CSS",B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹12,000/month",https://careers.example.com/jobs/63
99,Product Analyst Intern,Cobalt Cloud Works,Mumbai,Internship,Business Analysis,Support our product and strategy teams by analyzing data related to a subscription product.,Support product roadmap planning | Prepare reports and dashboards | Gather and document business requirements for a subscription product,"Data Analysis, Requirement Gathering, SQL","Tableau, Agile, JIRA",Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹8,000/month",https://careers.example.com/jobs/99
134,Embedded Systems Intern,Quantify Analytics,Chandigarh,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for an industrial IoT sensor.,Document hardware interfaces | Develop firmware for an industrial IoT sensor | Debug embedded systems issues,"C++, C, Embedded C, Microcontrollers","PCB Design, Arduino",Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹25,000/month",https://careers.example.com/jobs/134
3,Web Developer Intern,ByteBridge Solutions,Kochi,Internship,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Fix cross-browser compatibility issues | Integrate REST APIs into the frontend | Optimize page load performance,"Responsive Design, JavaScript, HTML, CSS","Next.js, TypeScript, Node.js",B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹10,000/month",https://careers.example.com/jobs/3
156,Site Reliability Intern,Nexalytics Technologies,Kochi,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for CI/CD pipelines.",Manage container orchestration | Assist in cloud cost optimization | Automate deployment pipelines for CI/CD pipelines,"Docker, Shell Scripting, AWS, Git","GCP, Terraform, Azure",MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹12,000/month",https://careers.example.com/jobs/156
